"url","text"
"https://pec.ac.in/institute/email-services/reporting-copyright-infringement","Report Copyright Infringement"
"https://pec.ac.in/jobs/jobs","Jobs"
"https://pec.ac.in/jobs/tenders","Tenders"
"https://pec.ac.in/office-orders","Office Orders"
"https://pec.ac.in/office-orders",""
"https://pec.ac.in/office-orders",""
"https://pec.ac.in/nirf-data-20","NIRF"
"https://pec.ac.in/jobs/node/549","RTI"
"https://pec.ac.in/jobs/tnp/about-cell","Placements"
"https://pec.ac.in/jobs/institute-functionaries","Contact Us"
"https://pec.ac.in/jobs/",""
"https://pec.ac.in/jobs/","Home"
"https://pec.ac.in/jobs/institute","Institute"
"https://pec.ac.in/jobs/history","History"
"https://pec.ac.in/jobs/vision","Vision & Mission"
"https://pec.ac.in/jobs/campus","Campus"
"https://pec.ac.in/jobs/location","Location"
"https://pec.ac.in/jobs/all_events","News and Events"
"https://pec.ac.in/jobs/tenders","Tenders & Quotations"
"https://pec.ac.in/jobs/balance-sheets","Balance Sheets"
"https://pec.ac.in/jobs/faculty-affairs","Faculty Affairs"
"https://pec.ac.in/jobs/institute/iqac-reports","IQAC Reports"
"https://pec.ac.in/jobs/administration","Administration"
"https://pec.ac.in/jobs/board-of-governors","Board Of Governors"
"https://pec.ac.in/jobs/chairman-bog","Chairman, Board of Governors"
"https://pec.ac.in/jobs/director","Director"
"https://pec.ac.in/jobs/senate-members","Senate Members"
"https://pec.ac.in/jobs/building-works-committee","Building & Works Committee"
"https://pec.ac.in/jobs/finance-committee","Finance Committee"
"https://pec.ac.in/jobs/grievance-redressal-committee","Grievance Redressal Committee"
"https://pec.ac.in/jobs/institute-functionaries","Institute Functionaries"
"https://pec.ac.in/jobs/minutes-meetings","Minutes of Meetings"
"https://pec.ac.in/jobs/programmes","Programmes"
"https://pec.ac.in/jobs/programmes/ug/structure","Undergraduate"
"https://pec.ac.in/jobs/programmes/pg/structure","Postgraduate"
"https://pec.ac.in/jobs/programmes/phd","Doctorate"
"https://pec.ac.in/jobs/programmes/student-support","Academic Support for Students"
"https://pec.ac.in/jobs/programmes/accreditation","Accreditation"
"https://pec.ac.in/jobs/programmes/scholarships","Scholarships"
"https://pec.ac.in/jobs/iqac/aqar-reports","IQAC Reports"
"https://pec.ac.in/jobs/admissions","Admissions"
"https://pec.ac.in/jobs/academic-units","Academic Units"
"https://pec.ac.in/jobs/departments","Departments"
"https://pec.ac.in/jobs/centres","Centres"
"https://pec.ac.in/jobs/research/overview","Research"
"https://pec.ac.in/jobs/research/overview","Overview"
"https://pec.ac.in/jobs/research-groups","Research Groups"
"https://pec.ac.in/jobs/sponsored-research","Sponsored Research"
"https://pec.ac.in/jobs/house-projects","In-House Projects"
"https://pec.ac.in/jobs/consultancy","Consultancy"
"https://pec.ac.in/jobs/courses-and-conferences","Courses and Conferences"
"https://pec.ac.in/jobs/yrf/about-programme","Young Research Fellows Programme"
"https://pec.ac.in/jobs/norms-and-forms","Norms and Forms"
"https://pec.ac.in/jobs/research/contacts","Contacts"
"https://pec.ac.in/jobs/campus-life","Campus Life"
"https://pec.ac.in/jobs/current-students","Students"
"https://pec.ac.in/jobs/facilities","Facilities"
"https://pec.ac.in/jobs/job-19-7-18/details","Rolling Advertisement for the Temporary Engagement of Faculty Positions at the level of Assistant Professor on contract for three years."
"https://pec.ac.in/jobs/institute","Institute"
"https://pec.ac.in/jobs/history","History"
"https://pec.ac.in/jobs/vision","Vision & Mission"
"https://pec.ac.in/jobs/campus","Campus"
"https://pec.ac.in/jobs/location","Location"
"https://pec.ac.in/jobs/top-stories","Top Stories"
"https://pec.ac.in/jobs/pec-anthem","PEC Anthem"
"https://pec.ac.in/jobs/all_events","News & Events"
"https://pec.ac.in/jobs/rules-guidelines-forms","Rules, Guidelines & Forms"
"https://pec.ac.in/jobs/office-orders","Office Orders"
"https://pec.ac.in/jobs/tenders","Tenders and Quotations"
"https://pec.ac.in/jobs/jobs","Job Openings"
"https://pec.ac.in/jobs/archive","Archive of Previous job Openings"
"https://pec.ac.in/jobs/research/overview","Overview"
"https://pec.ac.in/jobs/research-groups","Research Groups"
"https://pec.ac.in/jobs/sponsored-research","Sponsored Research"
"https://pec.ac.in/jobs/consultancy","Consultancy"
"https://pec.ac.in/jobs/coe/collaborations","Collaborations"
"https://pec.ac.in/jobs/house-projects","In-House Projects"
"https://pec.ac.in/jobs/current-students/time-tables","Time Tables"
"https://pec.ac.in/jobs/current-students/examination","Examination"
"https://pec.ac.in/jobs/academics/calendar","Academic Calendar"
"https://pec.ac.in/jobs/programmes/ug/structure","Undergraduate Programme"
"https://pec.ac.in/jobs/programmes/pg/structure","Postgraduate Programme"
"https://pec.ac.in/jobs/programmes/phd","PhD Programme"
"https://pec.ac.in/jobs/library","Library"
"https://pec.ac.in/jobs/computer-centre","Computer Centre"
"https://pec.ac.in/jobs/Sports","Sports"
"https://pec.ac.in/jobs/hostels","Hostels"
"https://pec.ac.in/jobs/medical-facilities","Medical Facility"
"https://pec.ac.in/jobs/workshops","Workshops"
"https://pec.ac.in/jobs/multimedia","Multimedia"
"https://pec.ac.in/jobs/prospectus","Brochure & Prospectus"
"https://pec.ac.in/jobs/institute/sexual-harassment-complaints-committee","Sexual Harassment Complaints"
"https://pec.ac.in/jobs/credits","Website Credits"
"https://pec.ac.in/jobs/web_editor","Web Editor"
"https://pec.ac.in/jobs/anti-ragging","Anti-Ragging"
